topic_id,discipline,main_keyword,secondary_keywords,search_intent,season,content_type,buyer_intent_score,angle,recommended_product_clusters,internal_link_targets
14,karper,beste pellets voorjaar,"karper aas voorjaar,karper tips voorjaar,watertemperatuur voorjaar",koop,voorjaar,toplist,4,voersnelheid + selectiviteit,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
15,karper,beste pellets zomer,"karper aas zomer,karper tips zomer,watertemperatuur zomer",koop,zomer,toplist,4,voersnelheid + selectiviteit,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
16,karper,beste pellets herfst,"karper aas herfst,karper tips herfst,watertemperatuur herfst",koop,herfst,toplist,4,voersnelheid + selectiviteit,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
17,karper,beste attractors winter,"karper aas winter,karper tips winter,watertemperatuur winter",koop,winter,toplist,5,extra geur/smaak prikkel,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
18,karper,beste attractors voorjaar,"karper aas voorjaar,karper tips voorjaar,watertemperatuur voorjaar",koop,voorjaar,toplist,5,extra geur/smaak prikkel,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
19,karper,beste attractors zomer,"karper aas zomer,karper tips zomer,watertemperatuur zomer",koop,zomer,toplist,5,extra geur/smaak prikkel,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
20,karper,beste attractors herfst,"karper aas herfst,karper tips herfst,watertemperatuur herfst",koop,herfst,toplist,5,extra geur/smaak prikkel,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
21,karper,beste onderlijnen winter,"karper aas winter,karper tips winter,watertemperatuur winter",koop,winter,toplist,5,kant-en-klaar vs zelf knopen,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
22,karper,beste onderlijnen voorjaar,"karper aas voorjaar,karper tips voorjaar,watertemperatuur voorjaar",koop,voorjaar,toplist,5,kant-en-klaar vs zelf knopen,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
23,karper,beste onderlijnen zomer,"karper aas zomer,karper tips zomer,watertemperatuur zomer",koop,zomer,toplist,5,kant-en-klaar vs zelf knopen,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
24,karper,beste onderlijnen herfst,"karper aas herfst,karper tips herfst,watertemperatuur herfst",koop,herfst,toplist,5,kant-en-klaar vs zelf knopen,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
25,karper,beste karperhaken winter,"karper aas winter,karper tips winter,watertemperatuur winter",koop,winter,toplist,5,inhaking & maat keuze,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
26,karper,beste karperhaken voorjaar,"karper aas voorjaar,karper tips voorjaar,watertemperatuur voorjaar",koop,voorjaar,toplist,5,inhaking & maat keuze,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
27,karper,beste karperhaken zomer,"karper aas zomer,karper tips zomer,watertemperatuur zomer",koop,zomer,toplist,5,inhaking & maat keuze,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
28,karper,beste karperhaken herfst,"karper aas herfst,karper tips herfst,watertemperatuur herfst",koop,herfst,toplist,5,inhaking & maat keuze,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
29,karper,welk karperaas winter kanaal,"aas karper kanaal,karper vissen winter,beste boilies kanaal",info+koop,winter,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
30,karper,welk karperaas winter rivier,"aas karper rivier,karper vissen winter,beste boilies rivier",info+koop,winter,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
31,karper,welk karperaas winter plas,"aas karper plas,karper vissen winter,beste boilies plas",info+koop,winter,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
32,karper,welk karperaas winter groot water,"aas karper groot water,karper vissen winter,beste boilies groot water",info+koop,winter,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
33,karper,welk karperaas winter klein water,"aas karper klein water,karper vissen winter,beste boilies klein water",info+koop,winter,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
34,karper,welk karperaas voorjaar kanaal,"aas karper kanaal,karper vissen voorjaar,beste boilies kanaal",info+koop,voorjaar,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
35,karper,welk karperaas voorjaar rivier,"aas karper rivier,karper vissen voorjaar,beste boilies rivier",info+koop,voorjaar,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
36,karper,welk karperaas voorjaar plas,"aas karper plas,karper vissen voorjaar,beste boilies plas",info+koop,voorjaar,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
37,karper,welk karperaas voorjaar groot water,"aas karper groot water,karper vissen voorjaar,beste boilies groot water",info+koop,voorjaar,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
38,karper,welk karperaas voorjaar klein water,"aas karper klein water,karper vissen voorjaar,beste boilies klein water",info+koop,voorjaar,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
39,karper,welk karperaas zomer kanaal,"aas karper kanaal,karper vissen zomer,beste boilies kanaal",info+koop,zomer,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
40,karper,welk karperaas zomer rivier,"aas karper rivier,karper vissen zomer,beste boilies rivier",info+koop,zomer,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
41,karper,welk karperaas zomer plas,"aas karper plas,karper vissen zomer,beste boilies plas",info+koop,zomer,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
42,karper,welk karperaas zomer groot water,"aas karper groot water,karper vissen zomer,beste boilies groot water",info+koop,zomer,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
43,karper,welk karperaas zomer klein water,"aas karper klein water,karper vissen zomer,beste boilies klein water",info+koop,zomer,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
44,karper,welk karperaas herfst kanaal,"aas karper kanaal,karper vissen herfst,beste boilies kanaal",info+koop,herfst,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
45,karper,welk karperaas herfst rivier,"aas karper rivier,karper vissen herfst,beste boilies rivier",info+koop,herfst,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
46,karper,welk karperaas herfst plas,"aas karper plas,karper vissen herfst,beste boilies plas",info+koop,herfst,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
47,karper,welk karperaas herfst groot water,"aas karper groot water,karper vissen herfst,beste boilies groot water",info+koop,herfst,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
48,karper,welk karperaas herfst klein water,"aas karper klein water,karper vissen herfst,beste boilies klein water",info+koop,herfst,keuzehulp,4,beslisboom per situatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
49,karper,karperaas keuze winter kanaal,"aas karper kanaal,karper vissen winter,beste boilies kanaal",info+koop,winter,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
50,karper,karperaas keuze winter rivier,"aas karper rivier,karper vissen winter,beste boilies rivier",info+koop,winter,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
51,karper,karperaas keuze winter plas,"aas karper plas,karper vissen winter,beste boilies plas",info+koop,winter,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
52,karper,karperaas keuze winter groot water,"aas karper groot water,karper vissen winter,beste boilies groot water",info+koop,winter,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
53,karper,karperaas keuze winter klein water,"aas karper klein water,karper vissen winter,beste boilies klein water",info+koop,winter,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
54,karper,karperaas keuze voorjaar kanaal,"aas karper kanaal,karper vissen voorjaar,beste boilies kanaal",info+koop,voorjaar,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
55,karper,karperaas keuze voorjaar rivier,"aas karper rivier,karper vissen voorjaar,beste boilies rivier",info+koop,voorjaar,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
56,karper,karperaas keuze voorjaar plas,"aas karper plas,karper vissen voorjaar,beste boilies plas",info+koop,voorjaar,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
57,karper,karperaas keuze voorjaar groot water,"aas karper groot water,karper vissen voorjaar,beste boilies groot water",info+koop,voorjaar,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
58,karper,karperaas keuze voorjaar klein water,"aas karper klein water,karper vissen voorjaar,beste boilies klein water",info+koop,voorjaar,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
59,karper,karperaas keuze zomer kanaal,"aas karper kanaal,karper vissen zomer,beste boilies kanaal",info+koop,zomer,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
60,karper,karperaas keuze zomer rivier,"aas karper rivier,karper vissen zomer,beste boilies rivier",info+koop,zomer,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
61,karper,karperaas keuze zomer plas,"aas karper plas,karper vissen zomer,beste boilies plas",info+koop,zomer,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
62,karper,karperaas keuze zomer groot water,"aas karper groot water,karper vissen zomer,beste boilies groot water",info+koop,zomer,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
63,karper,karperaas keuze zomer klein water,"aas karper klein water,karper vissen zomer,beste boilies klein water",info+koop,zomer,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
64,karper,karperaas keuze herfst kanaal,"aas karper kanaal,karper vissen herfst,beste boilies kanaal",info+koop,herfst,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
65,karper,karperaas keuze herfst rivier,"aas karper rivier,karper vissen herfst,beste boilies rivier",info+koop,herfst,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
66,karper,karperaas keuze herfst plas,"aas karper plas,karper vissen herfst,beste boilies plas",info+koop,herfst,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
67,karper,karperaas keuze herfst groot water,"aas karper groot water,karper vissen herfst,beste boilies groot water",info+koop,herfst,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
68,karper,karperaas keuze herfst klein water,"aas karper klein water,karper vissen herfst,beste boilies klein water",info+koop,herfst,keuzehulp,4,sliders: temp/wind/helderheid,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
69,karper,boilie keuze winter kanaal,"aas karper kanaal,karper vissen winter,beste boilies kanaal",koop,winter,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
70,karper,boilie keuze winter rivier,"aas karper rivier,karper vissen winter,beste boilies rivier",koop,winter,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
71,karper,boilie keuze winter plas,"aas karper plas,karper vissen winter,beste boilies plas",koop,winter,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
72,karper,boilie keuze winter groot water,"aas karper groot water,karper vissen winter,beste boilies groot water",koop,winter,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
73,karper,boilie keuze winter klein water,"aas karper klein water,karper vissen winter,beste boilies klein water",koop,winter,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
74,karper,boilie keuze voorjaar kanaal,"aas karper kanaal,karper vissen voorjaar,beste boilies kanaal",koop,voorjaar,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
75,karper,boilie keuze voorjaar rivier,"aas karper rivier,karper vissen voorjaar,beste boilies rivier",koop,voorjaar,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
76,karper,boilie keuze voorjaar plas,"aas karper plas,karper vissen voorjaar,beste boilies plas",koop,voorjaar,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
77,karper,boilie keuze voorjaar groot water,"aas karper groot water,karper vissen voorjaar,beste boilies groot water",koop,voorjaar,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
78,karper,boilie keuze voorjaar klein water,"aas karper klein water,karper vissen voorjaar,beste boilies klein water",koop,voorjaar,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
79,karper,boilie keuze zomer kanaal,"aas karper kanaal,karper vissen zomer,beste boilies kanaal",koop,zomer,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
80,karper,boilie keuze zomer rivier,"aas karper rivier,karper vissen zomer,beste boilies rivier",koop,zomer,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
81,karper,boilie keuze zomer plas,"aas karper plas,karper vissen zomer,beste boilies plas",koop,zomer,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
82,karper,boilie keuze zomer groot water,"aas karper groot water,karper vissen zomer,beste boilies groot water",koop,zomer,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
83,karper,boilie keuze zomer klein water,"aas karper klein water,karper vissen zomer,beste boilies klein water",koop,zomer,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
84,karper,boilie keuze herfst kanaal,"aas karper kanaal,karper vissen herfst,beste boilies kanaal",koop,herfst,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
85,karper,boilie keuze herfst rivier,"aas karper rivier,karper vissen herfst,beste boilies rivier",koop,herfst,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
86,karper,boilie keuze herfst plas,"aas karper plas,karper vissen herfst,beste boilies plas",koop,herfst,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
87,karper,boilie keuze herfst groot water,"aas karper groot water,karper vissen herfst,beste boilies groot water",koop,herfst,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
88,karper,boilie keuze herfst klein water,"aas karper klein water,karper vissen herfst,beste boilies klein water",koop,herfst,keuzehulp,5,smaak/maat/structuur,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
89,karper,rig keuze winter kanaal,"aas karper kanaal,karper vissen winter,beste boilies kanaal",info+koop,winter,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
90,karper,rig keuze winter rivier,"aas karper rivier,karper vissen winter,beste boilies rivier",info+koop,winter,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
91,karper,rig keuze winter plas,"aas karper plas,karper vissen winter,beste boilies plas",info+koop,winter,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
92,karper,rig keuze winter groot water,"aas karper groot water,karper vissen winter,beste boilies groot water",info+koop,winter,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
93,karper,rig keuze winter klein water,"aas karper klein water,karper vissen winter,beste boilies klein water",info+koop,winter,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
94,karper,rig keuze voorjaar kanaal,"aas karper kanaal,karper vissen voorjaar,beste boilies kanaal",info+koop,voorjaar,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
95,karper,rig keuze voorjaar rivier,"aas karper rivier,karper vissen voorjaar,beste boilies rivier",info+koop,voorjaar,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
96,karper,rig keuze voorjaar plas,"aas karper plas,karper vissen voorjaar,beste boilies plas",info+koop,voorjaar,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
97,karper,rig keuze voorjaar groot water,"aas karper groot water,karper vissen voorjaar,beste boilies groot water",info+koop,voorjaar,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
98,karper,rig keuze voorjaar klein water,"aas karper klein water,karper vissen voorjaar,beste boilies klein water",info+koop,voorjaar,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
99,karper,rig keuze zomer kanaal,"aas karper kanaal,karper vissen zomer,beste boilies kanaal",info+koop,zomer,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
100,karper,rig keuze zomer rivier,"aas karper rivier,karper vissen zomer,beste boilies rivier",info+koop,zomer,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
101,karper,rig keuze zomer plas,"aas karper plas,karper vissen zomer,beste boilies plas",info+koop,zomer,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
102,karper,rig keuze zomer groot water,"aas karper groot water,karper vissen zomer,beste boilies groot water",info+koop,zomer,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
103,karper,rig keuze zomer klein water,"aas karper klein water,karper vissen zomer,beste boilies klein water",info+koop,zomer,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
104,karper,rig keuze herfst kanaal,"aas karper kanaal,karper vissen herfst,beste boilies kanaal",info+koop,herfst,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
105,karper,rig keuze herfst rivier,"aas karper rivier,karper vissen herfst,beste boilies rivier",info+koop,herfst,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
106,karper,rig keuze herfst plas,"aas karper plas,karper vissen herfst,beste boilies plas",info+koop,herfst,keuzehulp,4,bodemtype + presentatie,"boilies,popups,wafters,pellets,particles,liquids,rigs","aas-gids,voer-gids,rigs-gids,stekkenmap"
