species_id,name_nl,xp_base,difficulty,name_latin,water_set,set_group,advice_group,angling_group,rarity,is_protected_nl,region_set,is_core_sport,is_collectible,card_style,habitat,life_history_notes,distribution_nl_notes,identification_notes,record_nl,environment,image_ref,data_source
nl-blankvoorn,Blankvoorn,5,1,Rutilus rutilus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,"De blankvoorn komt in bijna heel Europa voor, in grote delen van Spanje en ItaliÃ« ontbreekt de soort. In Nederland is de soort zeer wijd verspreid en nagenoeg overal te vinden.op de brakkere delen van Zeeland en kleine beken op de hogere zandgronden na.","Blankvoorn is een generalistische soort die in vrijwel alle watertypen voorkomt van stilstaand tot stromend water. Alleen zeer ondiepe of dichtbegroeide wateren worden gemeden. Het voedsel bestaat uit ongewervelden, plankton en plantaardig materiaal.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001263,"De blankvoorn (Rutilus rutilus) behoort tot de karpers (Cyprinidae). De soort heeft een zijdelings afgeplatte lichaam met zilverkleurige flanken. De bek is eindstandig en het oog is doorgaans oranjerood van kleur. Blankvoorn kan tot 51 centimeter groot worden. De soort is te onderscheiden van gelijkende karperachtigen op basis van de stand van de bek en plaatsing van de vinnen. Bij blankvoorn begint de rugvin recht boven het begin van de buikvinnen terwijl deze bij rietvoorn, winde en kopvoorn achter de buikvin begint. De serpeling en sneep hebben een onderstandige bek",48 cm (1.75 kg),fresh,SoortenDash_Images/10.Foto.213706.jpg,sportvisserij_nl + bestaande_db
nl-blauwband,Blauwband,7,1,Pseudorasbora parva,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-blauwneus,Blauwneus,7,1,Vimba vimba,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-blonde-grondel,Blonde grondel,10,1,Gobiusculus flavescens,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-bonito,Bonito,10,1,Sarda sarda,zout,pelagisch,pelagisch,pelagisch,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-bot,Bot,10,1,Platichthys flesus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,Brak/Zout,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-botervis,Botervis,10,1,Pholis gunnellus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-braam,Braam,10,1,Brama brama,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-bronforel,Bronforel,25,2,Salvelinus fontinalis,zoet,roofvis,roofvis,roofvis,uncommon,no,NL,yes,yes,style_uncommon,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-bruine-amerikaanse-dwergmeerval,Bruine Amerikaanse dwergmeerval,20,1,Ameiurus nebulosus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-diklipharder,Diklipharder,25,2,Chelon labrosus,zoet,witvis,witvis,witvis,uncommon,no,NL,yes,yes,style_uncommon,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-donaubrasem,Donaubrasem,10,1,Ballerus sapa,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-doornhaai,Doornhaai,10,1,Squalus acanthias,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-driedoornige-stekelbaars,Driedoornige stekelbaars,5,1,Gasterosteus aculeatus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,"Driedoornige stekelbaars komt in een groot deel van Europa voor. In Noord- en Zuid-Europa alleen langs de kust en in Midden Europa ook in het zoete water van rivieren, meren, kanalen en sloten. In Nederland komt deze soort in vrijwel elk watertype voor. In delen van Drenthe ontbreekt de driedoornige stekelbaars. Dit komt waarschijnlijk doordat de soort na de laatste ijstijd zijn areaal heeft uitgebreid vanaf zee maar door de ligging van de Hondsrug en omringend hoogveen niet verder landinwaarts kon trekken.","De driedoornige stekelbaars is een generalistische soort. Ze komen in zoetwater in zowel stilstaande als stromende wateren voor met een voorkeur voor heldere, kleinere begroeide wateren zoals sloten en beken. In grotere wateren zoals rivieren en meren leven ze in de oeverzone. Ze jagen op zicht op zooplankton en macrofauna. Afhankelijk van de leefwijze worden drie vormen onderscheiden. De Leiurus-vorm leeft permanent in zoet water. De trekkende Semiarmatus-vorm groeit op in zee en plant zich voort in zoet water. De Trachurus-vorm leeft permanent in zee of estuaria.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001127,"De driedoornige stekelbaars (Gasterosteus aculeatus) behoort tot de familie van de stekelbaarzen (Gasterosteidae). Het is een kleine vis met een zijdelings afgeplatte lichaam met zilvere flanken met zwarte strepen of vlekken. Op de rug bevinden zich drie harde stekels, soms zijn dit er twee of vier. In de paaitijd krijgen mannetjes een felrode onderkant en een blauwachtige rug en iris. Stekelbaarzen hebben geen schubben maar beenplaten. Hoe zouter het water waar ze leven, hoe meer van deze platen er op de flanken aanwezig zijn. Ook worden ze groter in zout water, tot 11 centimeter lang. In zoet water worden ze niet langer dan ongeveer 8 centimeter. Het onderscheid met de tiendoornige stekelbaars kan gemaakt worden doordat deze soort acht tot twaalf stekels op de rug heeft en slanker van vorm is.",10 cm,fresh,SoortenDash_Images/28.Foto.214420.jpg,sportvisserij_nl + bestaande_db
nl-dunlipharder,Dunlipharder,25,2,Chelon ramada,zoet,witvis,witvis,witvis,uncommon,no,NL,yes,yes,style_uncommon,Brak/Zout,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-dwergbolk,Dwergbolk,10,1,Trisopterus minutus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-elft,Elft,50,4,Alosa alosa,zoet,witvis,witvis,witvis,epic,yes,NL,yes,yes,style_epic,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-elrits,Elrits,5,1,Phoxinus phoxinus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,"Recent heeft genetisch onderzoek aangetoond dat er een groot aantal elritssoorten voorkomen in Europa. De voor Nederland inheemse (Phoxinus phoxinus) komt van nature voor in Nederland, BelgiÃ«, Luxemburg , het westen van Duitsland en het noorden van Frankrijk.. In Nederland komt de elrits voor in de Geul, genetische onderzoek heeft uitgewezen dat hier naast de inheemse elrits (Phoxinus phoxinus) ook een uitheemse elritssoort (Phoxinus csikii) uit centraal Europa is aangetroffen (1 van de 8 geanalyseerde exemplaren). Bij de populatie in de Roer en Rode Beek werden enkel inheemse elritsen (Phoxinus phoxinus) aangetroffen (9 geanalyseerde exemplaren). Op oostflank van de Veluwe in de Verloren Beek en Klaarbeek bleken de geanalyseerde elritsen te behoren tot (Phoxinus cf morella): een genetische lijn die het dichtsbij Phoxinus morella ligt, een soort uit waarvan de dichtsbijzijnde vindplaats in het stroomgebied van de Ems bij Osnabruck (Duitsland) ligt. De populatie op de Veluwe is waarschijnlijk het gevolg van dieren die in het verleden ontsnapt zijn uit een nabijgelegen forellenkwekerij maar een noordelijke relictpopulatie is niet uit te sluiten.","Elrits is een geheel stromingsminnende soort. De soort komt voor in matig tot snelstromende zuurstofrijke beken en rivieren. Ze leven in scholen, vaak vrij dicht onder het wateroppervlak. Ze voeden zich met zoÃ¶plankton en macrofauna, ook de eitjes en larven van andere vissoorten worden gegeten. In de winter scholen elritsen samen op plaatsen met een lage stroomsnelheid en verschuilen zich daarbij tussen stenen.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001232,"Elrits (Phoxinus phoxinus) komt uit de familie van de karpers (Cypriniden). Het is een kleine langgerekte vis met een stompe kop en eindstandige bek. De rug is vaak donkerolijfgroen van kleur met onregelmatige vlekken op de flanken. De mannetjes krijgen tijdens de paaitijd een rode onderkant, een groene waas op de rug en pikzwarte vlekken op de flank. Elrits kan tot 12 centimeter lang worden. Bij de exotische dikkopelrits beginnen rug- en buikvin op vrijwel gelijke hoogte. Bij de inheemse elrits begint de rugvin duidelijk achter de buikvinnen. Jonge zalmachtigen hebben een vetvin.",8 cm,fresh,SoortenDash_Images/30.Foto.214403.jpg,sportvisserij_nl + bestaande_db
nl-engelse-poon,Engelse poon,10,1,Chelidonichthys cuculus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-europese-meerval,Europese meerval,20,3,Silurus glanis,zoet,roofvis,roofvis,roofvis,uncommon,no,NL,yes,yes,style_epic,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-europese-steur,Europese steur,50,5,Acipenser sturio,zoet,witvis,witvis,witvis,legendary,yes,NL,yes,yes,style_legendary,Zout,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-fint,Fint,15,3,Alosa fallax,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,Zout,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-geep,Geep,10,1,Belone belone,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-gehoornde-slijmvis,Gehoornde slijmvis,10,1,Parablennius gattorugine,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-gestippelde-alver,Gestippelde alver,10,1,Alburnoides bipunctatus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-gevlekte-gladde-haai,Gevlekte gladde haai,10,1,Mustelus asterias,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-gevlekte-griet,Gevlekte griet,10,1,Zeugopterus punctatus,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-gevlekte-lipvis,Gevlekte lipvis,10,1,Labrus bergylta,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-gevlekte-rog,Gevlekte rog,10,1,Raja montagui,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-giebel,Giebel,25,2,Carassius gibelio,zoet,witvis,witvis,witvis,uncommon,no,NL,yes,yes,style_uncommon,"Giebel komt oorspronkelijk uit centraal Europa en SiberiÃ«, ij de 17e eeuw is de soort waarschijnlijk bij vistransporten van karpers meegekomen naar West-Europa.","De giebel heeft een voorkeur voor stilstaand tot langzaam stromend water met waterplanten. In Nederland wordt giebel vaak aangetroffen in vijvers, poelen en sloten In het Oosten van het verspreidingsgebied (AziÃ«) planten giebels zich wel geslachtelijk voort en zijn er dus ook mannelijke giebels te vinden. Het voedsel bestaat uit waterdiertjes zoals zoÃ¶plankton, insectenlarven en kleine kreeftachtigen aangevuld met plantaardig voedsel zoals algen en waterplanten.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001062,"Giebel (Carassius gibelio) is een hooggebouwde zijdelings afgeplatte karperachtige (Cyprinidae) met geelwitte tot bruingelige flanken. Giebels kunnen tot circa 45 centimeter lang worden. Karper en kroeskarper lijken op giebel. Het onderscheid met karper kan gemaakt worden doordat karper bekdraden heeft. Kroeskarper heeft een bolle rugvin en 33-36 schubben op de zijlijn, de giebel heeft er 27-32 en een holle rugvin. In tegenstelling tot jonge karpers en kroeskarpers hebben jonge giebels geen donkere vlek op de staartwortel.",57 cm,fresh,SoortenDash_Images/25.Foto.214447.jpg,sportvisserij_nl + bestaande_db
nl-goudbrasem,Goudbrasem,10,1,Sparus aurata,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-goudvis,Goudvis,10,1,Carassius auratus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-graskarper,Graskarper,20,3,Ctenopharyngodon idella,zoet,witvis,karper,witvis,rare,no,NL,yes,yes,style_uncommon,Het oorspronkelijke leefgebied van graskarper bevindt zich in de grote rivieren met hoge zomertemperaturen in Oost-AziÃ« en Oost-SiberiÃ«. Omdat het voedsel hoofdzakelijk uit zachte waterplanten bestaat is de graskarper wereldwijd uitgezet om overvloedige ontwikkeling van waterplanten te bestrijden. In Nederland is de graskarper in 1968 voor het eerst uitgezet met dit doel. In de decenia daarna zijn er honderduizenden graskarpertjes uitgezet verspreid over Nederland.,Graskarpers zijn gedeeltelijk stromingsminnend en leven van nature in grote riviersystemen en de daarmee verbonden wateren. Jonge graskarpers voeden zich met watervlooien en macrofauna. Naarmate ze groter worden schakelen ze over op waterplanten. Bij een lengte van 10cm zijn ze nagenoeg geheel vegetarisch.,https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001095,De graskarper (Ctenopharyngodon idella) is een karperachtige (Cyprinidae) met een torpedovormig lichaam en bruingroene flanken. De grote schubben zijn zwart omrand waardoor er op de flank een nettekening zichtbaar is. Graskarpers kunnen tot 112 cm lang worden. Karper en kopvoorn vertonen overeenkomsten met graskarper. Het onderscheid met karper kan gemaakt worden doordat deze bekdraden heeft. Bij kopvoorn is de rand van de anaalvin bolrond terwijl deze bij graskarper recht is.,114 cm,fresh,SoortenDash_Images/21.Foto.213228.jpg,sportvisserij_nl + bestaande_db
nl-grauwe-poon,Grauwe poon,10,1,Eutrigla gurnardus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-griet,Griet,10,1,Scophthalmus rhombus,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-groene-zeedonderpad,Groene zeedonderpad,10,1,Taurulus bubalis,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-grootkopkarper,Grootkopkarper,25,2,Hypophthalmichthys nobilis,zoet,witvis,karper,witvis,uncommon,no,NL,yes,yes,style_uncommon,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-grote-marene,Grote marene,25,1,Coregonus lavaretus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-grote-modderkruiper,Grote modderkruiper,5,3,Misgurnus fossilis,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-grote-pieterman,Grote pieterman,10,1,Trachinus draco,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-grote-zeenaald,Grote zeenaald,10,1,Syngnathus acus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-gup,Gup,5,1,Poecilia reticulata,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-haring,Haring,10,1,Clupea harengus,zout,pelagisch,pelagisch,pelagisch,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-haringhaai,Haringhaai,10,1,Lamna nasus,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-harnasmannetje,Harnasmannetje,10,1,Agonus cataphractus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-heek,Heek,10,1,Merluccius merluccius,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-heilbot,Heilbot,10,1,Hippoglossus hippoglossus,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-hondshaai,Hondshaai,10,1,Scyliorhinus canicula,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-horsmakreel,Horsmakreel,10,1,Trachurus trachurus,zout,pelagisch,pelagisch,pelagisch,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-houting,Houting,15,3,Coregonus oxyrinchus,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-kabeljauw,Kabeljauw,10,1,Gadus morhua,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kathaai,Kathaai,10,1,Scyliorhinus stellaris,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kesslers-grondel,Kesslers grondel,3,1,Ponticola kessleri,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-kleine-marene,Kleine marene,20,1,Coregonus albula,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-kleine-modderkruiper,Kleine modderkruiper,5,3,Cobitis taenia,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,,,,,12 cm,fresh,SoortenDash_Images/34.Foto.214351.jpg,sportvisserij_nl + bestaande_db
nl-kleine-pieterman,Kleine pieterman,10,1,Echiichthys vipera,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kliplipvis,Kliplipvis,10,1,Ctenolabrus rupestris,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-knorrepos,Knorrepos,10,1,Micropogon undulatus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kolblei,Kolblei,5,1,Blicca bjoerkna,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,46 cm,fresh,SoortenDash_Images/23.Foto.214459.jpg,sportvisserij_nl + bestaande_db
nl-kongeraal,Kongeraal,10,1,Conger conger,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-koolvis,Koolvis,10,1,Pollachius virens,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-koornaarvis,Koornaarvis,10,1,Atherina presbyter,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kopvoorn,Kopvoorn,10,2,Squalius cephalus,zoet,witvis,witvis,witvis,uncommon,no,NL,yes,yes,style_uncommon,,,,,59 cm,fresh,SoortenDash_Images/17.Foto.214149.jpg,sportvisserij_nl + bestaande_db
nl-kroeskarper,Kroeskarper,25,2,Carassius carassius,zoet,witvis,karper,witvis,uncommon,no,NL,yes,yes,style_uncommon,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-kruiskarper,Kruiskarper,25,2,karper-giebel hybride,zoet,witvis,karper,witvis,uncommon,no,NL,yes,yes,style_uncommon,,,,,,fresh,,sportvisserij_nl + bestaande_db
